,Cash,Position,pnl,g_sl,g_tp,close,no_trades,no_wins
446,9982,0.0,0,13,25,13,0.0,0.0
447,9982,0.0,0,13,25,13,0.0,0.0
448,9996,0.0,-4,0,0,12,1.0,0.0
449,9996,0.0,-4,0,0,13,1.0,0.0
450,9996,0.0,-4,0,0,13,1.0,0.0
451,9996,0.0,-4,0,0,13,1.0,0.0
452,9996,0.0,-4,0,0,14,1.0,0.0
453,9996,0.0,-4,0,0,13,1.0,0.0
454,9996,0.0,-4,0,0,13,1.0,0.0
455,9996,0.0,-4,0,0,13,1.0,0.0
456,9996,0.0,-4,0,0,13,1.0,0.0
457,9996,0.0,-4,0,0,12,1.0,0.0
458,9996,0.0,-4,0,0,12,1.0,0.0
459,9996,0.0,-4,0,0,12,1.0,0.0
460,9996,0.0,-4,0,0,11,1.0,0.0
461,9996,0.0,-4,0,0,11,1.0,0.0
462,9996,0.0,-4,0,0,11,1.0,0.0
463,9996,0.0,-4,0,0,12,1.0,0.0
464,9996,0.0,-4,0,0,12,1.0,0.0
465,9996,0.0,-4,0,0,12,1.0,0.0
466,9996,0.0,-4,0,0,12,1.0,0.0
467,9996,0.0,-4,0,0,12,1.0,0.0
468,9996,0.0,-4,0,0,12,1.0,0.0
469,9996,0.0,-4,0,0,12,1.0,0.0
470,9996,0.0,-4,0,0,12,1.0,0.0
471,9996,0.0,-4,0,0,12,1.0,0.0
472,9996,0.0,-4,0,0,12,1.0,0.0
473,9996,0.0,-4,0,0,13,1.0,0.0
474,9996,0.0,-4,0,0,13,1.0,0.0
475,9996,0.0,-4,0,0,13,1.0,0.0
476,9996,0.0,-4,0,0,13,1.0,0.0
477,9996,0.0,-4,0,0,13,1.0,0.0
478,9996,0.0,-4,0,0,13,1.0,0.0
479,9996,0.0,-4,0,0,13,1.0,0.0
480,9996,0.0,-4,0,0,13,1.0,0.0
481,9996,0.0,-4,0,0,13,1.0,0.0
482,9996,0.0,-4,0,0,13,1.0,0.0
483,9996,0.0,-4,0,0,13,1.0,0.0
484,9996,0.0,-4,0,0,13,1.0,0.0
485,9996,0.0,-4,0,0,13,1.0,0.0
486,9996,0.0,-4,0,0,13,1.0,0.0
487,9996,0.0,-4,0,0,13,1.0,0.0
488,9996,0.0,-4,0,0,13,1.0,0.0
489,9996,0.0,-4,0,0,13,1.0,0.0
490,9996,0.0,-4,0,0,13,1.0,0.0
491,9996,0.0,-4,0,0,13,1.0,0.0
492,9996,0.0,-4,0,0,13,1.0,0.0
493,9996,0.0,-4,0,0,13,1.0,0.0
494,9996,0.0,-4,0,0,13,1.0,0.0
495,9996,0.0,-4,0,0,13,1.0,0.0
496,9996,0.0,-4,0,0,13,1.0,0.0
497,9996,0.0,-4,0,0,13,1.0,0.0
498,9996,0.0,-4,0,0,13,1.0,0.0
499,9996,0.0,-4,0,0,12,1.0,0.0
500,9996,0.0,-4,0,0,12,1.0,0.0
501,9996,0.0,-4,0,0,12,1.0,0.0
502,9996,0.0,-4,0,0,13,1.0,0.0
503,9996,0.0,-4,0,0,13,1.0,0.0
504,9996,0.0,-4,0,0,14,1.0,0.0
505,9996,0.0,-4,0,0,14,1.0,0.0
506,9996,0.0,-4,0,0,14,1.0,0.0
507,9996,0.0,-4,0,0,14,1.0,0.0
508,9981,1.0,-4,10,22,14,1.0,0.0
509,9981,0.0,-4,10,22,14,1.0,0.0
510,9981,0.0,-4,10,22,15,1.0,0.0
511,9981,0.0,-4,10,22,14,1.0,0.0
512,9981,0.0,-4,10,22,15,1.0,0.0
513,9981,0.0,-4,10,22,15,1.0,0.0
514,9981,0.0,-4,10,22,14,1.0,0.0
515,9981,0.0,-4,10,22,14,1.0,0.0
516,9981,0.0,-4,10,22,14,1.0,0.0
517,9981,0.0,-4,10,22,14,1.0,0.0
518,9981,0.0,-4,10,22,14,1.0,0.0
519,9981,0.0,-4,10,22,14,1.0,0.0
520,9981,0.0,-4,10,22,14,1.0,0.0
521,9981,0.0,-4,10,22,13,1.0,0.0
522,9981,0.0,-4,10,22,14,1.0,0.0
523,9981,0.0,-4,10,22,14,1.0,0.0
524,9981,0.0,-4,10,22,14,1.0,0.0
525,9981,0.0,-4,10,22,13,1.0,0.0
526,9981,0.0,-4,10,22,13,1.0,0.0
527,9981,0.0,-4,10,22,14,1.0,0.0
528,9981,0.0,-4,10,22,14,1.0,0.0
529,9981,0.0,-4,10,22,14,1.0,0.0
530,9981,0.0,-4,10,22,14,1.0,0.0
531,9981,0.0,-4,10,22,14,1.0,0.0
532,9981,0.0,-4,10,22,14,1.0,0.0
533,9981,0.0,-4,10,22,14,1.0,0.0
534,9981,0.0,-4,10,22,14,1.0,0.0
535,9981,0.0,-4,10,22,14,1.0,0.0
536,9981,0.0,-4,10,22,14,1.0,0.0
537,9981,0.0,-4,10,22,14,1.0,0.0
538,9981,0.0,-4,10,22,14,1.0,0.0
539,9981,0.0,-4,10,22,14,1.0,0.0
540,9981,0.0,-4,10,22,14,1.0,0.0
541,9981,0.0,-4,10,22,14,1.0,0.0
542,9981,0.0,-4,10,22,14,1.0,0.0
543,9981,0.0,-4,10,22,14,1.0,0.0
544,9981,0.0,-4,10,22,13,1.0,0.0
545,9981,0.0,-4,10,22,13,1.0,0.0
546,9981,0.0,-4,10,22,13,1.0,0.0
547,9981,0.0,-4,10,22,13,1.0,0.0
548,9981,0.0,-4,10,22,13,1.0,0.0
549,9981,0.0,-4,10,22,13,1.0,0.0
550,9981,0.0,-4,10,22,13,1.0,0.0
551,9981,0.0,-4,10,22,13,1.0,0.0
552,9981,0.0,-4,10,22,13,1.0,0.0
553,9981,0.0,-4,10,22,14,1.0,0.0
554,9981,0.0,-4,10,22,13,1.0,0.0
555,9981,0.0,-4,10,22,12,1.0,0.0
556,9981,0.0,-4,10,22,12,1.0,0.0
557,9981,0.0,-4,10,22,13,1.0,0.0
558,9981,0.0,-4,10,22,13,1.0,0.0
